,name,new_id
0,000003.jpg,0
1,015648.jpg,0
2,033840.jpg,0
3,038887.jpg,0
4,049972.jpg,0
5,052374.jpg,0
6,053297.jpg,0
7,061069.jpg,0
8,069458.jpg,0
9,070480.jpg,0
10,073665.jpg,0
11,074691.jpg,0
12,074908.jpg,0
13,079723.jpg,0
14,084418.jpg,0
15,086208.jpg,0
16,087940.jpg,0
17,092115.jpg,0
18,101759.jpg,0
19,102191.jpg,0
20,134209.jpg,0
21,134272.jpg,0
22,134680.jpg,0
23,138523.jpg,0
24,140747.jpg,0
25,148651.jpg,0
26,153310.jpg,0
27,000007.jpg,1
28,008201.jpg,1
29,013638.jpg,1
30,015336.jpg,1
31,025883.jpg,1
32,033472.jpg,1
33,043155.jpg,1
34,043521.jpg,1
35,045445.jpg,1
36,046906.jpg,1
37,048660.jpg,1
38,051555.jpg,1
39,052825.jpg,1
40,055710.jpg,1
41,075810.jpg,1
42,077311.jpg,1
43,082872.jpg,1
44,087912.jpg,1
45,096904.jpg,1
46,107670.jpg,1
47,109848.jpg,1
48,111336.jpg,1
49,133901.jpg,1
50,134269.jpg,1
51,136162.jpg,1
52,152915.jpg,1
53,156407.jpg,1
54,000008.jpg,2
55,004806.jpg,2
56,019010.jpg,2
57,021177.jpg,2
58,038160.jpg,2
59,047098.jpg,2
60,055280.jpg,2
61,057503.jpg,2
62,063975.jpg,2
63,070510.jpg,2
64,074995.jpg,2
65,079796.jpg,2
66,090634.jpg,2
67,092070.jpg,2
68,107068.jpg,2
69,108513.jpg,2
70,112474.jpg,2
71,114769.jpg,2
72,120293.jpg,2
73,134062.jpg,2
74,135144.jpg,2
75,135319.jpg,2
76,136231.jpg,2
77,137531.jpg,2
78,151879.jpg,2
79,152417.jpg,2
80,153620.jpg,2
81,000015.jpg,3
82,003428.jpg,3
83,011370.jpg,3
84,014228.jpg,3
85,018547.jpg,3
86,026211.jpg,3
87,027527.jpg,3
88,030656.jpg,3
89,033589.jpg,3
90,033621.jpg,3
91,041379.jpg,3
92,041588.jpg,3
93,065014.jpg,3
94,071426.jpg,3
95,072071.jpg,3
